東洋経済コード,負債比率,年版
2667,75.09,2017
2668,59.3,2017
2676,24.72,2017
2689,180.36,2017
2692,185.1,2017
2693,42.81,2017
2700,233.93,2017
2708,336.34,2017
2721,517.65,2017
2733,255.39,2017
2737,85.88,2017
2743,78.71,2017
2750,280.3,2017
2751,32.08,2017
2760,161.98,2017
2763,48,2017
2767,55.15,2017
2768,304.92,2017
2776,1503.33,2017
2784,5.7,2017
2788,41.78,2017
2795,32.9,2017
2874,73.81,2017
3004,605.59,2017
3023,70.28,2017
3024,270.97,2017
3035,97.35,2017
3036,441.72,2017
3038,572.78,2017
3041,355.78,2017
3045,69.09,2017
3047,392.34,2017
3054,149.26,2017
3055,0.58,2017
3070,180.32,2017
3076,1.36,2017
3079,150.37,2017
3089,53.35,2017
3107,131.99,2017
3131,534.5,2017
3132,0.6,2017
3139,229.6,2017
3140,497.52,2017
3143,279.98,2017
3151,166.28,2017
3153,212.85,2017
3154,161.89,2017
3156,130.77,2017
3157,4.9,2017
3160,586.3,2017
3161,45.26,2017
3166,33.88,2017
3167,315.38,2017
3168,115.79,2017
3173,211.03,2017
3176,55.19,2017
3180,76.31,2017
3183,0.78,2017
3306,241.3,2017
3320,224.4,2017
3321,92.37,2017
3323,53.29,2017
3350,51.54,2017
3355,65.47,2017
3359,83.89,2017
3360,5.46,2017
3374,394.06,2017
3377,36.14,2017
3384,375.25,2017
3386,19.8,2017
3388,107.04,2017
3392,1.68,2017
3393,68.73,2017
3417,0.19,2017
3419,87.7,2017
3537,130.12,2017
3540,27.64,2017
3541,131.37,2017
3543,7.61,2017
3559,151.06,2017
3562,337.48,2017
3565,54.46,2017
5283,279.78,2017
5883,0,2017
5885,0,2017
5886,0,2017
5887,0,2017
6973,144.55,2017
7114,0,2017
7115,0,2017
7116,0,2017
7120,0,2017
7128,0,2017
7131,0,2017
7132,0,2017
7139,0,2017
7413,150.99,2017
7414,121.73,2017
7417,111.16,2017
7420,88.17,2017
7422,61.38,2017
7425,116.95,2017
7426,89.44,2017
7427,183.88,2017
7433,49.04,2017
7434,55.17,2017
7435,81.84,2017
7438,57.07,2017
7441,123.66,2017
7442,33.99,2017
7443,129.7,2017
7444,60.81,2017
7446,112.26,2017
7447,11.55,2017
7456,40.32,2017
7458,85.46,2017
7459,18.2,2017
7460,122.02,2017
7461,32.57,2017
7464,125.62,2017
7466,46.02,2017
7467,101.12,2017
7472,47.35,2017
7476,42.14,2017
7477,112.09,2017
7480,57.26,2017
7481,147.83,2017
7482,18.7,2017
7483,31.61,2017
7485,176.75,2017
7486,42.04,2017
7487,40.94,2017
7488,32.01,2017
7490,42.78,2017
7500,144.42,2017
7501,18.16,2017
7504,108.39,2017
7505,219.58,2017
7510,77.98,2017
7521,63.87,2017
7525,117.87,2017
7531,23.62,2017
7537,111.38,2017
7538,245.99,2017
7539,1.48,2017
7552,79.95,2017
7555,89.59,2017
7565,75.47,2017
7567,91.43,2017
7570,247.7,2017
