,,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算
,,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0
,,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率
,,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076
,,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％
,,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース
,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
,,月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M)
,,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12
,,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先
,,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0
