,code,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
0,T1301,,,338.56,,,,,,,,,,,,304.17,,,,,,,,,,,,289.88,,,,,,,,,,,,300.69,,,,,,,,,,,,289.09,,,,,,,,,,,,224.92,,,,,,,,,
1,T1332,,,380.23,,,,,,,,,,,,269.12,,,,,,,,,,,,262.06,,,,,,,,,,,,266.52,,,,,,,,,,,,280.18,,,,,,,,,,,,223.59,,,,,,,,,
2,T1333,,,602.77,,,,,,,,,,,,485.95,,,,,,,,,,,,413.04,,,,,,,,,,,,368.92,,,,,,,,,,,,343.13,,,,,,,,,,,,298.83,,,,,,,,,
3,T1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.07,,,,,,,,,,,,99.68,,,,,,,,,
4,T1376,,,,,160.05,,,,,,,,,,,,141.8,,,,,,,,,,,,139.35,,,,,,,,,,,,132.22,,,,,,,,,,,,130.18,,,,,,,,,,,,120.09,,,,,,,
5,T1377,,,,,12.68,,,,,,,,,,,,15.46,,,,,,,,,,,,10.98,,,,,,,,,,,,9.94,,,,,,,,,,,,9.45,,,,,,,,,,,,9.26,,,,,,,
6,T1379,,,49.77,,,,,,,,,,,,68.19,,,,,,,,,,,,77.54,,,,,,,,,,,,87.39,,,,,,,,,,,,84.27,,,,,,,,,,,,74.33,,,,,,,,,
7,T1380,,,184.97,,,,,,,,,,,,178.85,,,,,,,,,,,,198.15,,,,,,,,,,,,179.48,,,,,,,,,,,,173.31,,,,,,,,,,,,160.96,,,,,,,,,
8,T1381,,,,,,33.73,,,,,,,,,,,,32.62,,,,,,,,,,,,23.25,,,,,,,,,,,,17.55,,,,,,,,,,,,14.19,,,,,,,,,,,,15.63,,,,,,
9,T1382,,,,,,28.93,,,,,,,,,,,,79.77,,,,,,,,,,,,108.72,,,,,,,,,,,,140.39,,,,,,,,,,,,111.19,,,,,,,,,,,,70.43,,,,,,
