,code,îNî≈,åéïΩãœécã∆éûä‘,óLãxéÊìæó¶/ëOä˙,ä«óùêEÅEèóê´î‰ó¶,ïΩãœîNóÓçáåv/ëOä˙,fusaiRate,ÉÅÉìÉ^ÉãÉwÉãÉXãxêEé“ó¶,ïΩãœîNä‘ããó^/ëOä˙ÅiëŒêîÅj,è]ã∆àıêîçáåv/ëOä˙ÅiëŒêîÅj,é©å»ìsçáó£êEó¶
0,5851,2018,21.3,60.6,0.0,42.5,116.91,0.007432818753573471,6.8156400989734385,3.2427898094786767,0.007411630558722919
1,5851,2019,23.0,60.1,3.5,42.5,113.04,0.006590772917914919,6.821727085890225,3.222456336679247,0.012578616352201259
2,5851,2020,25.2,62.6,3.9,42.4,119.75,0.006543723973825104,6.83220217973465,3.225567713439471,0.008388256440982624
3,5851,2021,20.0,65.1,3.8,42.5,133.84,0.006282124500285551,6.8370111626955286,3.243286146083446,0.0148720999405116
4,4202,2020,17.6,70.6,3.9,41.3,125.64,0.003304419661296985,6.886173405097296,3.383994789441733,0.011469838572642312
5,4202,2021,17.7,74.2,3.7,41.3,122.57,0.006019261637239166,6.871170150833584,3.396548037987132,0.013630731102850062
6,5233,2018,16.1,69.8,0.3,41.7,113.26,0.002937720329024677,6.880112898913148,3.230959555748569,0.005303476723629935
7,5233,2019,16.4,66.0,0.3,41.7,104.95,0.003436426116838488,6.876968486302624,3.2420442393695508,0.00763807285546416
8,7988,2021,24.5,76.8,5.2,40.0,65.39,0.014760147601476014,6.7987711126580095,3.1319392952104246,0.03488372093023256
9,5471,2018,28.8,52.6,2.1,39.5,133.05,0.0024554941682013503,6.867832624888859,3.5129510799724906,0.009968847352024923
10,5471,2019,28.7,52.9,2.5,39.2,129.13,0.0029940119760479044,6.87616609178317,3.5237464668115646,0.004910988336402701
11,5471,2020,27.9,54.3,2.6,39.1,119.54,0.00291970802919708,6.871339381099861,3.534660575828444,0.011676646706586826
12,1810,2018,49.1,35.8,1.4,43.9,83.04,0.0013850415512465374,6.879881030086209,2.858537197569639,0.021398002853067047
13,1810,2019,23.0,36.3,1.4,44.1,73.99,0.0,6.881334433216977,2.862131379313037,0.0221606648199446
14,1810,2020,20.0,42.6,3.8,44.0,75.82,0.0,6.8616901793458105,2.873320601815399,0.009615384615384616
15,1810,2021,25.4,41.6,1.4,44.3,60.3,0.0,6.871258775666228,2.8744818176994666,0.002677376171352075
16,4506,2018,4.3,60.4,7.9,41.6,16.1,0.007838745800671893,6.9307218963557915,3.552911450216509,0.02125
17,4506,2019,3.8,67.7,8.4,41.9,54.0,0.004409171075837742,6.935911898168574,3.5317343092765503,0.018756998880179173
18,4506,2020,3.4,72.2,10.6,42.3,44.73,0.0013042060645582002,6.949887062470333,3.4867137759824853,0.018224573780129337
19,4506,2021,3.7,73.9,10.7,42.8,39.69,0.004961958319550115,6.955777581785543,3.480438147177817,0.014998369742419302
20,2264,2018,13.9,62.8,4.5,38.1,217.04,0.005930807248764415,6.858458632486826,3.482158695411276,0.017863049950380416
21,2264,2019,14.0,64.8,4.7,38.2,192.82,0.005407124681933842,6.869884958775723,3.4974825373673704,0.018121911037891267
22,2264,2020,11.1,64.9,4.7,38.3,181.99,0.008007391438250694,6.869140625713768,3.5114822886260013,0.01940203562340967
23,2264,2021,11.4,76.7,4.9,38.5,187.6,0.005389221556886228,6.871742884215526,3.5237464668115646,0.018170619032953497
24,4204,2018,19.2,45.9,3.1,42.8,93.34,0.014754098360655738,6.970048766086864,3.387389826338729,0.013311148086522463
25,4204,2019,19.9,51.1,3.2,42.6,115.66,0.015678776290630976,6.967345991681704,3.417471693203293,0.00778688524590164
26,4204,2020,19.9,64.0,4.1,42.7,109.09,0.020252197172334733,6.959890490353895,3.417803722639881,0.012619502868068833
