,code,fiscal_year,fusaiRate
0,1301,2016,304.17
1,1301,2017,289.88
2,1301,2018,300.69
3,1301,2019,289.09
4,1301,2020,224.92
5,1301,2021,236.8
11,130A,2021,4.16
12,1332,2016,269.12
13,1332,2017,262.06
14,1332,2018,266.52
15,1332,2019,280.18
16,1332,2020,223.59
17,1332,2021,217.1
18,1333,2016,485.95
19,1333,2017,413.04
20,1333,2018,368.92
21,1333,2019,343.13
22,1333,2020,298.83
23,1333,2021,278.47
26,1375,2018,0.01
27,1375,2019,0.07
28,1375,2020,99.68
29,1375,2021,95.6
30,1376,2016,160.05
31,1376,2017,141.8
32,1376,2018,139.35
33,1376,2019,132.22
34,1376,2020,130.18
35,1376,2021,120.09
36,1377,2016,12.68
37,1377,2017,15.46
38,1377,2018,10.98
39,1377,2019,9.94
40,1377,2020,9.45
41,1377,2021,9.26
42,1379,2016,68.19
43,1379,2017,77.54
44,1379,2018,87.39
45,1379,2019,84.27
46,1379,2020,74.33
47,1379,2021,83.12
48,1380,2016,178.85
49,1380,2017,198.15
50,1380,2018,179.48
51,1380,2019,173.31
52,1380,2020,160.96
53,1380,2021,151.94
54,1381,2016,33.73
55,1381,2017,32.62
56,1381,2018,23.25
57,1381,2019,17.55
58,1381,2020,14.19
59,1381,2021,15.63
60,1382,2016,28.93
61,1382,2017,79.77
62,1382,2018,108.72
63,1382,2019,140.39
64,1382,2020,111.19
65,1382,2021,70.43
66,1383,2016,166.3
67,1383,2017,173.89
68,1383,2018,180.49
69,1383,2019,187.65
70,1383,2020,356.32
71,1383,2021,348.92
72,1384,2016,53.78
73,1384,2017,47.785
74,1384,2018,38.3
75,1384,2019,33.22
76,1384,2020,28.97
77,1384,2021,53.12
78,1401,2016,75.13
79,1401,2017,79.95
80,1401,2018,55.32
81,1401,2019,43.2
82,1401,2020,39.4
83,1401,2021,36.61
84,1407,2016,134.39
85,1407,2017,126.82
86,1407,2018,218.11
87,1407,2019,278.15
88,1407,2020,280.59
89,1407,2021,240.45
90,1414,2016,0.04
91,1414,2017,0.24
92,1414,2018,0.05
93,1414,2019,0.05
94,1414,2020,0.08
95,1414,2021,0.09
96,1417,2016,64.24
97,1417,2017,69.54
98,1417,2018,46.48
99,1417,2019,46.17
100,1417,2020,48.64
101,1417,2021,103.37
102,1418,2016,117.68
103,1418,2017,105.76
104,1418,2018,88.21
105,1418,2019,90.41
106,1418,2020,70.29
107,1418,2021,43.8
108,1419,2016,495.42
109,1419,2017,493.87
110,1419,2018,505.53
111,1419,2019,422.77
112,1419,2020,409.94
113,1419,2021,296.62
114,1420,2016,223.05
115,1420,2017,185.82
116,1420,2018,211.76
117,1420,2019,262.34
118,1420,2020,217.98
119,1420,2021,222.3
120,1429,2016,89.04
121,1429,2017,132.48
122,1429,2018,144.37
123,1429,2019,124.74
124,1429,2020,109.75
125,1429,2021,129.88
126,1430,2016,464.38
127,1430,2017,182.15
128,1430,2018,168.09
129,1430,2019,92.55
130,1430,2020,195.06
131,1430,2021,177.58
132,1431,2016,62.68
133,1431,2017,89.4
134,1431,2018,95.91
135,1431,2019,77.15
136,1431,2020,75.1
137,1431,2021,78.34
138,1432,2016,212.45
139,1432,2017,195.04
140,1432,2018,204.41
141,1432,2019,236.99
142,1432,2020,240.0
143,1432,2021,259.11
144,1433,2016,93.4
145,1433,2017,67.44
146,1433,2018,73.42
147,1433,2019,92.57
148,1433,2020,130.57
149,1433,2021,99.48
150,1434,2016,183.11
151,1434,2017,149.9
152,1434,2018,84.1
153,1434,2019,58.39
154,1434,2020,119.77
155,1434,2021,157.35
157,1436,2017,59.68
158,1436,2018,59.61
159,1436,2019,69.2
160,1436,2020,76.85
161,1436,2021,80.86
162,1438,2016,50.95
163,1438,2017,35.08
164,1438,2018,34.68
165,1438,2019,38.69
166,1438,2020,35.49
167,1438,2021,35.72
169,1443,2017,0.52
170,1443,2018,0.07
171,1443,2019,0.21
172,1443,2020,33.09
173,1443,2021,45.76
174,1444,2016,34.74
175,1444,2017,34.69
176,1444,2018,36.47
177,1444,2019,36.07
178,1444,2020,28.49
179,1444,2021,24.28
186,1446,2016,151.48
187,1446,2017,134.0
188,1446,2018,93.04
189,1446,2019,77.52
190,1446,2020,118.54
191,1446,2021,94.83
194,1447,2018,6.16
195,1447,2019,36.97
196,1447,2020,51.04
197,1447,2021,640.27
198,1449,2016,238.53
199,1449,2017,195.74
200,1449,2018,109.91
201,1449,2019,95.22
202,1449,2020,68.17
203,1449,2021,100.55
210,1450,2016,89.7
211,1450,2017,62.62
212,1450,2018,25.52
213,1450,2019,32.24
214,1450,2020,46.58
215,1450,2021,29.62
217,1452,2017,169.21
218,1452,2018,120.33
219,1452,2019,94.1
