,code,îNî≈,åéïΩãœécã∆éûä‘,óLãxéÊìæó¶/ëOä˙,ä«óùêEÅEèóê´î‰ó¶,ïΩãœîNóÓçáåv/ëOä˙,fusaiRate,é©å»ìsçáó£êEó¶,ÉÅÉìÉ^ÉãÉwÉãÉXãxêEé“ó¶,ïΩãœîNä‘ããó^/ëOä˙ÅiëŒêîÅj,è]ã∆àıêîçáåv/ëOä˙ÅiëŒêîÅj
0,5851,2017,18.6,61.3,0.0,42.6,121.02,0.007411630558722919,0.007411630558722919,6.792512084456271,3.244029589030022
1,5851,2018,21.3,60.6,0.0,42.5,111.23,0.012578616352201259,0.007432818753573471,6.8156400989734385,3.2427898094786767
2,5851,2019,23.0,60.1,3.5,42.5,116.91,0.008388256440982624,0.006590772917914919,6.821727085890225,3.222456336679247
3,5851,2020,25.2,62.6,3.9,42.4,113.04,0.0148720999405116,0.006543723973825104,6.83220217973465,3.225567713439471
4,5851,2021,20.0,65.1,3.8,42.5,119.75,0.017133066818960593,0.006282124500285551,6.8370111626955286,3.243286146083446
5,4202,2019,17.2,64.4,3.0,41.2,62.09,0.011469838572642312,0.006796941376380629,6.886444698798933,3.371806458507416
6,4202,2020,17.6,70.6,3.9,41.3,58.82,0.013630731102850062,0.003304419661296985,6.886173405097296,3.383994789441733
7,4202,2021,17.7,74.2,3.7,41.3,125.64,0.013643659711075442,0.006019261637239166,6.871170150833584,3.396548037987132
8,5233,2017,16.9,73.2,0.1,42.0,121.19,0.005303476723629935,0.0035356511490866236,6.876644821622501,3.229681842317676
9,5233,2018,16.1,69.8,0.3,41.7,109.11,0.00763807285546416,0.002937720329024677,6.880112898913148,3.230959555748569
10,5233,2019,16.4,66.0,0.3,41.7,113.26,0.006872852233676976,0.003436426116838488,6.876968486302624,3.2420442393695508
11,7988,2020,27.2,73.8,5.2,39.6,84.48,0.03488372093023256,0.017054263565891473,6.802133712565243,3.110589710299249
12,7988,2021,24.5,76.8,5.2,40.0,69.5,0.03468634686346864,0.014760147601476014,6.7987711126580095,3.1319392952104246
13,5471,2017,29.9,47.2,1.9,39.4,124.23,0.009968847352024923,0.002803738317757009,6.854712691141455,3.506505032404872
14,5471,2018,28.8,52.6,2.1,39.5,127.94,0.004910988336402701,0.0024554941682013503,6.867832624888859,3.5129510799724906
15,5471,2019,28.7,52.9,2.5,39.2,133.05,0.011676646706586826,0.0029940119760479044,6.87616609178317,3.5237464668115646
16,5471,2020,27.9,54.3,2.6,39.1,129.13,0.0035036496350364962,0.00291970802919708,6.871339381099861,3.534660575828444
17,1810,2017,24.8,35.1,1.5,43.8,109.93,0.021398002853067047,0.0,6.862312993352775,2.8457180179666586
18,1810,2018,49.1,35.8,1.4,43.9,116.8,0.0221606648199446,0.0013850415512465374,6.879881030086209,2.858537197569639
19,1810,2019,23.0,36.3,1.4,44.1,83.04,0.009615384615384616,0.0,6.881334433216977,2.862131379313037
20,1810,2020,20.0,42.6,3.8,44.0,73.99,0.002677376171352075,0.0,6.8616901793458105,2.873320601815399
21,1810,2021,25.4,41.6,1.4,44.3,75.82,0.022696929238985315,0.0,6.871258775666228,2.8744818176994666
22,4506,2017,5.1,55.0,5.4,42.1,24.54,0.02125,0.006,6.924457517029076,3.6020599913279625
23,4506,2018,4.3,60.4,7.9,41.6,20.46,0.018756998880179173,0.007838745800671893,6.9307218963557915,3.552911450216509
24,4506,2019,3.8,67.7,8.4,41.9,16.1,0.018224573780129337,0.004409171075837742,6.935911898168574,3.5317343092765503
25,4506,2020,3.4,72.2,10.6,42.3,54.0,0.014998369742419302,0.0013042060645582002,6.949887062470333,3.4867137759824853
26,4506,2021,3.7,73.9,10.7,42.8,44.73,0.015547469401257029,0.004961958319550115,6.955777581785543,3.480438147177817
27,2264,2017,14.2,60.9,4.4,37.7,237.35,0.017863049950380416,0.004961958319550115,6.852474442927529,3.480438147177817
28,2264,2018,13.9,62.8,4.5,38.1,219.25,0.018121911037891267,0.005930807248764415,6.858458632486826,3.482158695411276
29,2264,2019,14.0,64.8,4.7,38.2,217.04,0.01940203562340967,0.005407124681933842,6.869884958775723,3.4974825373673704
30,2264,2020,11.1,64.9,4.7,38.3,192.82,0.018170619032953497,0.008007391438250694,6.869140625713768,3.5114822886260013
31,2264,2021,11.4,76.7,4.9,38.5,181.99,0.018562874251497007,0.005389221556886228,6.871742884215526,3.5237464668115646
32,4204,2017,19.1,32.7,2.4,43.0,81.47,0.013311148086522463,0.009983361064891847,6.964889630922846,3.380934463330702
33,4204,2018,19.2,45.9,3.1,42.8,90.41,0.00778688524590164,0.014754098360655738,6.970048766086864,3.387389826338729
34,4204,2019,19.9,51.1,3.2,42.6,93.34,0.012619502868068833,0.015678776290630976,6.967345991681704,3.417471693203293
35,4204,2020,19.9,64.0,4.1,42.7,115.66,0.014520443255636225,0.020252197172334733,6.959890490353895,3.417803722639881
36,4204,2021,18.0,71.4,4.6,40.3,109.09,0.024006001500375095,0.018754688672168042,6.956089154889137,3.4258601450778405
37,1948,2021,27.9,55.1,1.8,44.5,54.57,0.02608695652173913,0.0034782608695652175,6.81820635652305,2.7596678446896306
38,4471,2017,6.7,57.9,1.8,39.2,39.14,0.03253968253968254,0.004761904761904762,6.86569605991607,3.100370545117563
39,4471,2018,8.5,57.1,2.3,39.3,42.67,0.02364066193853428,0.007880220646178092,6.865103974641128,3.103461622094705
40,4471,2019,7.9,53.1,2.3,39.3,40.72,0.034375,0.00859375,6.865103974641128,3.1072099696478683
41,4471,2020,6.7,58.1,2.6,39.4,31.37,0.032520325203252036,0.010347376201034738,6.861534410859038,3.131297796597623
42,4471,2021,5.9,56.4,3.9,39.7,32.42,0.03268945022288262,0.007429420505200594,6.866877814337498,3.1290450598879582
43,4912,2018,14.7,54.4,8.2,43.6,77.88,0.006772908366533864,0.010358565737051793,6.856358222879274,3.399673721481038
44,4912,2019,15.3,50.7,8.5,43.3,69.08,0.009411764705882352,0.013333333333333334,6.8704713268975315,3.406540180433955
45,4912,2020,14.9,62.4,9.5,43.5,70.12,0.012467913458012467,0.011367803447011368,6.85009005576792,3.43568513794163
46,4912,2021,13.5,73.7,8.9,43.5,78.9,0.017894736842105262,0.011228070175438596,6.849395824884571,3.45484486000851
47,1979,2017,42.1,31.7,1.0,43.7,62.72,0.016846361185983826,0.00876010781671159,6.952688626024529,3.171433900943008
48,1979,2018,42.0,27.1,1.0,43.8,66.4,0.017289073305670817,0.008298755186721992,6.9861375597051625,3.160168292958512
49,1979,2019,45.0,37.6,1.2,43.8,66.16,0.016914749661705007,0.006089309878213802,6.9515669444420976,3.1696744340588068
50,1979,2020,45.9,45.4,2.3,43.9,58.97,0.02377717391304348,0.005434782608695652,6.96723590215811,3.16790781000148
51,1979,2021,36.7,54.4,2.3,43.6,48.26,0.016857720836142953,0.009440323668240054,7.032030130795551,3.1711411510283822
52,1802,2017,41.2,37.4,6.4,42.3,205.59,0.006069983337300642,0.0013092120923589622,6.961439082503591,3.924382677201973
53,1802,2018,40.3,41.7,7.5,42.3,178.57,0.005865790708587518,0.001290473955889254,6.9780910457986085,3.9306434410421645
54,1802,2019,37.7,43.1,8.0,42.4,166.92,0.005575560459983738,0.0016262051341619235,7.019595910524173,3.934952707817858
55,1802,2020,38.0,43.9,8.8,42.5,159.8,0.006854792642522564,0.0018279447046726837,7.022286387712212,3.9421569284674907
56,1802,2021,38.8,41.9,9.0,42.6,135.12,0.007475365273530411,0.002151999093895118,7.024366281881747,3.9459115168192733
57,2282,2017,27.9,53.3,3.5,42.4,129.96,0.009545199326221224,0.006176305446378439,6.933941793715975,3.2506639194632436
58,2282,2018,27.5,54.3,3.5,42.2,108.63,0.009180790960451978,0.012005649717514125,6.9383909687991645,3.15106325335375
