,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年前4月1日入社・合計(入社者定着状況),うち直近4月1日在籍者・合計(入社者定着状況)
0,1332.0,4.0,5.0,5.0,295405.0,16.7,69.4,1.0,16.9,48.0,41.0
1,1333.0,4.0,5.0,4.0,258921.0,16.3,41.6,1.0,15.7,58.0,54.0
5,1662.0,4.0,5.0,4.0,352741.0,18.7,73.3,1.0,16.6,2.0,2.0
6,1605.0,4.0,5.0,5.0,370443.0,21.3,65.0,3.0,14.1,56.0,53.0
7,1852.0,3.0,4.0,4.0,291013.0,26.3,45.9,1.0,21.5,65.0,13.0
8,1869.0,3.0,3.0,3.0,276072.0,34.1,61.8,3.0,17.1,45.0,40.0
10,1899.0,3.0,3.0,3.0,354409.0,35.8,60.3,1.0,17.5,35.0,28.0
11,1848.0,2.0,2.0,2.0,343834.0,15.0,45.5,1.0,15.5,14.0,12.0
12,1813.0,3.0,4.0,3.0,278950.0,27.2,55.2,1.0,19.8,39.0,32.0
13,1718.0,3.0,3.0,3.0,214500.0,8.6,60.3,1.0,11.8,11.0,4.0
14,1805.0,3.0,3.0,3.0,316000.0,28.9,56.9,1.0,19.4,57.0,49.0
18,1963.0,4.0,4.0,4.0,339423.0,18.8,60.2,1.0,17.8,97.0,78.0
19,1890.0,4.0,3.0,3.0,310100.0,33.8,44.8,1.0,18.0,58.0,49.0
20,1835.0,4.0,4.0,3.0,292818.0,29.8,73.1,2.0,13.6,78.0,63.0
21,1720.0,5.0,5.0,4.0,411290.0,27.0,57.6,1.0,20.0,98.0,85.0
24,1808.0,4.0,4.0,4.0,322500.0,32.0,64.9,1.0,17.0,103.0,89.0
25,1975.0,3.0,3.0,3.0,298872.0,42.6,51.3,2.0,20.1,39.0,30.0
26,1941.0,3.0,3.0,3.0,271319.0,31.4,61.8,2.0,18.2,133.0,106.0
28,1925.0,5.0,4.0,5.0,268850.0,24.2,59.6,1.0,14.4,935.0,742.0
29,1802.0,5.0,5.0,5.0,364500.0,39.0,56.0,3.0,17.1,280.0,266.0
30,1822.0,3.0,3.0,3.0,416426.0,50.0,42.8,1.0,19.3,43.0,31.0
31,1878.0,5.0,5.0,4.0,257463.0,14.6,76.9,1.0,10.5,383.0,248.0
32,1801.0,5.0,5.0,5.0,387765.0,41.6,46.5,1.0,18.2,251.0,230.0
34,1979.0,5.0,4.0,4.0,290823.0,32.8,57.2,1.0,17.4,54.0,47.0
37,1928.0,5.0,5.0,5.0,272923.0,24.4,45.9,1.0,16.5,487.0,436.0
