,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率
0,1332.0,4.0,5.0,5.0,295405.0,16.7,69.4,1.0,16.9,0.14583333333333334
1,1333.0,4.0,5.0,4.0,258921.0,16.3,41.6,1.0,15.7,0.06896551724137931
5,1662.0,4.0,5.0,4.0,352741.0,18.7,73.3,1.0,16.6,0.0
6,1605.0,4.0,5.0,5.0,370443.0,21.3,65.0,3.0,14.1,0.05357142857142857
7,1852.0,3.0,4.0,4.0,291013.0,26.3,45.9,1.0,21.5,0.8
8,1869.0,3.0,3.0,3.0,276072.0,34.1,61.8,3.0,17.1,0.1111111111111111
10,1899.0,3.0,3.0,3.0,354409.0,35.8,60.3,1.0,17.5,0.2
11,1848.0,2.0,2.0,2.0,343834.0,15.0,45.5,1.0,15.5,0.14285714285714285
12,1813.0,3.0,4.0,3.0,278950.0,27.2,55.2,1.0,19.8,0.1794871794871795
13,1718.0,3.0,3.0,3.0,214500.0,8.6,60.3,1.0,11.8,0.6363636363636364
14,1805.0,3.0,3.0,3.0,316000.0,28.9,56.9,1.0,19.4,0.14035087719298245
18,1963.0,4.0,4.0,4.0,339423.0,18.8,60.2,1.0,17.8,0.1958762886597938
19,1890.0,4.0,3.0,3.0,310100.0,33.8,44.8,1.0,18.0,0.15517241379310345
20,1835.0,4.0,4.0,3.0,292818.0,29.8,73.1,2.0,13.6,0.19230769230769232
21,1720.0,5.0,5.0,4.0,411290.0,27.0,57.6,1.0,20.0,0.1326530612244898
24,1808.0,4.0,4.0,4.0,322500.0,32.0,64.9,1.0,17.0,0.13592233009708737
25,1975.0,3.0,3.0,3.0,298872.0,42.6,51.3,2.0,20.1,0.23076923076923078
26,1941.0,3.0,3.0,3.0,271319.0,31.4,61.8,2.0,18.2,0.20300751879699247
28,1925.0,5.0,4.0,5.0,268850.0,24.2,59.6,1.0,14.4,0.20641711229946524
29,1802.0,5.0,5.0,5.0,364500.0,39.0,56.0,3.0,17.1,0.05
30,1822.0,3.0,3.0,3.0,416426.0,50.0,42.8,1.0,19.3,0.27906976744186046
31,1878.0,5.0,5.0,4.0,257463.0,14.6,76.9,1.0,10.5,0.3524804177545692
32,1801.0,5.0,5.0,5.0,387765.0,41.6,46.5,1.0,18.2,0.08366533864541832
34,1979.0,5.0,4.0,4.0,290823.0,32.8,57.2,1.0,17.4,0.12962962962962962
37,1928.0,5.0,5.0,5.0,272923.0,24.4,45.9,1.0,16.5,0.10472279260780287
38,1820.0,5.0,5.0,4.0,313500.0,34.6,48.3,1.0,18.0,0.13
39,1803.0,5.0,5.0,5.0,383200.0,32.1,52.0,1.0,16.5,0.038461538461538464
40,1952.0,4.0,4.0,3.0,266333.0,30.4,52.0,1.0,16.6,0.2
41,1810.0,3.0,3.0,3.0,274482.0,21.8,42.1,2.0,18.6,0.25
43,1949.0,3.0,3.0,3.0,303300.0,33.8,55.9,3.0,17.4,0.09803921568627451
44,1812.0,5.0,5.0,5.0,369000.0,42.0,44.4,2.0,18.3,0.03319502074688797
45,1961.0,5.0,5.0,5.0,275602.0,29.9,54.5,1.0,18.6,0.125
46,1821.0,5.0,4.0,4.0,378500.0,39.6,48.3,1.0,21.0,0.09174311926605505
49,1969.0,5.0,5.0,4.0,329000.0,44.9,59.1,1.0,16.1,0.125
50,1948.0,3.0,3.0,2.0,256912.0,24.8,55.9,1.0,18.7,0.16666666666666666
52,1893.0,4.0,4.0,4.0,317879.0,23.9,48.4,1.0,17.5,0.16842105263157894
53,1860.0,5.0,5.0,5.0,377050.0,21.9,60.5,2.0,19.1,0.0718954248366013
54,1861.0,5.0,4.0,5.0,361633.0,24.4,44.7,1.0,19.5,0.09848484848484848
55,1959.0,3.0,3.0,3.0,265035.0,28.0,59.8,1.0,16.4,0.24757281553398058
58,1833.0,4.0,4.0,4.0,397542.0,27.7,48.9,1.0,16.6,0.136986301369863
63,1417.0,4.0,5.0,4.0,262919.0,24.5,62.1,1.0,15.0,0.15254237288135594
67,1871.0,3.0,4.0,4.0,288600.0,26.6,51.4,2.0,18.8,0.17647058823529413
68,1827.0,3.0,3.0,3.0,369975.0,32.2,56.7,1.0,17.5,0.1724137931034483
70,1946.0,3.0,3.0,3.0,264000.0,29.2,63.6,1.0,19.4,0.14563106796116504
72,1965.0,3.0,4.0,3.0,284015.0,40.4,46.3,1.0,14.8,0.24242424242424243
74,1980.0,4.0,5.0,5.0,302292.0,22.1,46.2,1.0,17.9,0.07407407407407407
75,1712.0,3.0,2.0,2.0,410888.0,25.1,55.4,1.0,8.7,0.2
77,1721.0,4.0,5.0,5.0,271163.0,23.1,50.9,1.0,16.0,0.15217391304347827
83,1951.0,4.0,4.0,5.0,282881.0,31.0,64.0,1.0,17.3,0.09473684210526316
87,4526.0,4.0,4.0,4.0,297671.0,13.0,69.9,1.0,16.0,0.2
88,2269.0,5.0,5.0,5.0,301592.0,9.1,66.8,1.0,17.0,0.12844036697247707
90,2573.0,3.0,3.0,4.0,231585.0,8.5,52.2,1.0,18.9,0.0
91,2607.0,5.0,5.0,4.0,292100.0,18.6,68.6,1.0,18.5,0.12121212121212122
93,2282.0,4.0,5.0,4.0,334775.0,24.1,54.1,1.0,18.0,0.03278688524590164
94,2002.0,5.0,4.0,4.0,324567.0,19.0,67.5,1.0,17.0,0.11627906976744186
95,2897.0,5.0,5.0,5.0,279439.0,20.0,70.7,1.0,12.5,0.125
96,2602.0,5.0,5.0,5.0,288563.0,18.5,70.7,1.0,18.6,0.15
97,2117.0,3.0,3.0,2.0,287000.0,20.1,43.3,1.0,19.4,0.2222222222222222
98,2875.0,4.0,4.0,4.0,275236.0,21.1,62.8,2.0,15.3,0.16279069767441862
99,2204.0,3.0,3.0,3.0,262156.0,16.0,59.7,1.0,18.3,0.6785714285714286
100,2293.0,3.0,3.0,3.0,248715.0,13.4,53.3,3.0,12.4,0.32
101,2270.0,4.0,5.0,4.0,276312.0,17.5,73.8,1.0,14.3,0.09345794392523364
102,2264.0,5.0,5.0,5.0,391057.0,11.5,70.2,1.0,15.7,0.07586206896551724
103,2201.0,4.0,4.0,4.0,247007.0,13.3,62.6,1.0,18.4,0.1951219512195122
104,2004.0,4.0,4.0,4.0,292634.0,7.8,58.8,1.0,15.8,0.17777777777777778
105,2206.0,4.0,5.0,4.0,387310.0,23.7,68.1,1.0,17.7,0.1111111111111111
106,2220.0,3.0,3.0,3.0,301000.0,7.9,65.5,1.0,20.2,0.0625
110,2209.0,3.0,3.0,3.0,258492.0,17.0,56.3,2.0,13.5,0.09090909090909091
111,2593.0,4.0,4.0,5.0,330000.0,28.6,53.9,1.0,16.0,0.24390243902439024
113,2805.0,4.0,4.0,4.0,317500.0,12.0,72.0,1.0,13.9,0.14634146341463414
117,2931.0,3.0,3.0,3.0,404726.0,25.0,61.2,1.0,4.3,0.0
118,2267.0,5.0,4.0,5.0,297974.0,8.1,71.7,1.0,18.4,0.07526881720430108
119,2217.0,3.0,3.0,3.0,268660.0,6.6,64.8,1.0,14.4,0.1875
120,4404.0,3.0,3.0,3.0,281967.0,10.7,60.1,1.0,18.0,0.17391304347826086
123,2060.0,3.0,3.0,3.0,286467.0,6.9,54.3,1.0,15.3,0.06666666666666667
124,2810.0,4.0,4.0,5.0,325162.0,17.5,61.4,1.0,20.3,0.12857142857142856
125,2001.0,4.0,4.0,4.0,312039.0,15.4,63.0,1.0,16.3,0.18
126,2871.0,4.0,4.0,4.0,236840.0,17.3,59.7,1.0,16.8,0.14606741573033707
131,2501.0,5.0,5.0,5.0,326600.0,14.5,60.0,1.0,16.5,0.038461538461538464
132,2579.0,4.0,5.0,5.0,326594.0,15.4,49.2,1.0,17.0,0.25769230769230766
133,2503.0,5.0,5.0,5.0,318793.0,20.1,67.1,1.0,17.5,0.053763440860215055
134,2809.0,5.0,5.0,5.0,318344.0,15.9,61.7,1.0,15.3,0.10204081632653061
135,2801.0,5.0,4.0,4.0,360016.0,12.4,74.3,1.0,13.4,0.03125
137,2216.0,4.0,4.0,4.0,337502.0,12.5,63.3,1.0,13.7,0.20833333333333334
138,2229.0,4.0,4.0,5.0,338686.0,13.8,67.8,1.0,14.9,0.16666666666666666
139,2811.0,5.0,4.0,4.0,308300.0,14.2,83.0,1.0,16.8,0.019230769230769232
141,2533.0,3.0,3.0,3.0,245555.0,6.0,79.1,1.0,17.3,0.2222222222222222
144,2815.0,3.0,4.0,3.0,350000.0,7.0,29.9,2.0,14.3,0.3333333333333333
145,2502.0,5.0,5.0,5.0,305757.0,18.3,60.6,1.0,14.0,0.059880239520958084
146,2613.0,4.0,5.0,4.0,285000.0,16.9,63.7,1.0,16.8,0.05
147,2914.0,5.0,5.0,5.0,307360.0,17.8,84.0,1.0,18.1,0.07975460122699386
152,3512.0,3.0,3.0,3.0,308900.0,1.1,51.8,2.0,23.0,0.1
153,3101.0,4.0,5.0,4.0,305644.0,9.4,64.0,1.0,17.0,0.13861386138613863
154,8040.0,3.0,3.0,3.0,254487.0,4.4,78.1,1.0,15.5,0.42857142857142855
