,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率,資産合計,自己資本,純利益,ROA,ROE
0,1332.0,4.0,5.0,5.0,295405.0,16.7,69.4,1.0,16.9,0.1458333333333333,332621.0,104895.0,7165.0,2.1541033187922594,6.830640163973498
1,1333.0,4.0,5.0,4.0,258921.0,16.3,41.6,1.0,15.7,0.0689655172413793,363756.0,96112.0,10949.0,3.0099847150287555,11.391917762610287
2,1662.0,4.0,5.0,4.0,352741.0,18.7,73.3,1.0,16.6,0.0,423049.0,337872.0,-20003.0,-4.728293885578267,-5.920289340341904
4,1852.0,3.0,4.0,4.0,291013.0,26.3,45.9,1.0,21.5,0.8,84959.0,42300.0,3928.0,4.623406584352453,9.286052009456265
6,1899.0,3.0,3.0,3.0,354409.0,35.8,60.3,1.0,17.5,0.2,79165.0,47612.0,4541.0,5.736120760437062,9.537511551709652
7,1848.0,2.0,2.0,2.0,343834.0,15.0,45.5,1.0,15.5,0.1428571428571428,27185.0,9875.0,767.0,2.821408865183005,7.767088607594936
8,1813.0,3.0,4.0,3.0,278950.0,27.2,55.2,1.0,19.8,0.1794871794871795,46819.0,27492.0,1777.0,3.7954676520216153,6.463698530481595
9,1718.0,3.0,3.0,3.0,214500.0,8.6,60.3,1.0,11.8,0.6363636363636364,20232.0,11058.0,523.0,2.585013839462238,4.7296075239645505
10,1963.0,4.0,4.0,4.0,339423.0,18.8,60.2,1.0,17.8,0.1958762886597938,417396.0,261539.0,-53215.0,-12.749283653892226,-20.346869874091436
11,1890.0,4.0,3.0,3.0,310100.0,33.8,44.8,1.0,18.0,0.1551724137931034,123115.0,63505.0,5423.0,4.404824757340698,8.539485079914968
12,1835.0,4.0,4.0,3.0,292818.0,29.8,73.1,2.0,13.6,0.1923076923076923,126148.0,88009.0,4798.0,3.8034689412436187,5.451715165494439
13,1720.0,5.0,5.0,4.0,411290.0,27.0,57.6,1.0,20.0,0.1326530612244898,216561.0,78886.0,-7494.0,-3.460456868965326,-9.499784499150673
14,1808.0,4.0,4.0,4.0,322500.0,32.0,64.9,1.0,17.0,0.1359223300970873,888509.0,356487.0,45457.0,5.116098992807051,12.751376628039731
15,1975.0,3.0,3.0,3.0,298872.0,42.6,51.3,2.0,20.1,0.2307692307692307,70650.0,33860.0,1760.0,2.4911535739561215,5.197873597164796
16,1941.0,3.0,3.0,3.0,271319.0,31.4,61.8,2.0,18.2,0.2030075187969924,255990.0,207822.0,6375.0,2.490331653580218,3.0675289430377917
17,1925.0,5.0,4.0,5.0,268850.0,24.2,59.6,1.0,14.4,0.2064171122994652,3464449.0,1560626.0,165381.0,4.773659534315558,10.597093730336416
19,1822.0,3.0,3.0,3.0,416426.0,50.0,42.8,1.0,19.3,0.2790697674418604,138602.0,62747.0,10365.0,7.478247067141888,16.518718026359828
20,1878.0,5.0,5.0,4.0,257463.0,14.6,76.9,1.0,10.5,0.3524804177545692,669348.0,137794.0,43005.0,6.424909015937898,31.209631769162666
21,1801.0,5.0,5.0,5.0,387765.0,41.6,46.5,1.0,18.2,0.0836653386454183,1690241.0,675164.0,57743.0,3.416258391554814,8.55244059221167
22,1979.0,5.0,4.0,4.0,290823.0,32.8,57.2,1.0,17.4,0.1296296296296296,148593.0,103110.0,7657.0,5.153001823773664,7.4260498496751035
23,1928.0,5.0,5.0,5.0,272923.0,24.4,45.9,1.0,16.5,0.1047227926078028,1634066.0,903044.0,96279.0,5.8919896748356555,10.661606743414497
24,1820.0,5.0,5.0,4.0,313500.0,34.6,48.3,1.0,18.0,0.13,462400.0,147941.0,15003.0,3.244593425605536,10.141204939807086
25,1803.0,5.0,5.0,5.0,383200.0,32.1,52.0,1.0,16.5,0.0384615384615384,1749528.0,699210.0,45735.0,2.614133640616212,6.540953361651006
26,1952.0,4.0,4.0,3.0,266333.0,30.4,52.0,1.0,16.6,0.2,90837.0,49805.0,5255.0,5.785087574446536,10.551149482983636
27,1810.0,3.0,3.0,3.0,274482.0,21.8,42.1,2.0,18.6,0.25,66407.0,41427.0,1726.0,2.599123586368907,4.166364931083593
29,1812.0,5.0,5.0,5.0,369000.0,42.0,44.4,2.0,18.3,0.0331950207468879,1642964.0,656485.0,72192.0,4.3940098504897245,10.996747831252808
30,1961.0,5.0,5.0,5.0,275602.0,29.9,54.5,1.0,18.6,0.125,171310.0,84989.0,6952.0,4.058140213647773,8.17988210238972
31,1821.0,5.0,4.0,4.0,378500.0,39.6,48.3,1.0,21.0,0.091743119266055,315941.0,70627.0,-8557.0,-2.7084170778721344,-12.115763093434524
32,1969.0,5.0,5.0,4.0,329000.0,44.9,59.1,1.0,16.1,0.125,247772.0,119599.0,11731.0,4.734594708038035,9.808610439886621
33,1948.0,3.0,3.0,2.0,256912.0,24.8,55.9,1.0,18.7,0.1666666666666666,26807.0,17863.0,303.0,1.1303017868467191,1.696243632088675
34,1893.0,4.0,4.0,4.0,317879.0,23.9,48.4,1.0,17.5,0.1684210526315789,456004.0,139835.0,9129.0,2.001956123191902,6.528408481424536
